name_it,un_number,name_en,class,classification_code,packing_group,label,trc_transport_category,special_provisions,limited,expected_quantities,packing_instruction,special_packing_provision,mixed_packing_provision,instructions,p_tank_special_provisions,tank_code,ard_special_provisions,vehicle_for_tank_carriage,packages,bulk,loading_unloading_handling,operation,hazard_identification_no
SPOLETTE-DETONATORI,107,,1,1.2B,,1,1 (B1000C),,,,,,,,,,,,,,,,
GRANATE DA ESERCITAZIONE a mano o per fucile,110,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
GUANILNITROSAMMINOGUANILIDENIDRAZINA UMIDIFICATA con almeno il 30% (massa) di acqua,113,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
GUANILNITROSAMMINOGUANILTETRAZENE (TETRAZENE) UMIDIFICATO con almeno il 30% (massa) di acqua o una miscela di alcol e di acqua,114,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
ESOLITE (ESOTOLO) secca o umidiﬁcata con meno del 15% (massa) d'acqua,118,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
INFIAMMATORI (ACCENDITORI),121,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
PERFORATORI A CARICA CAVA, per pozzi di petrolio, senza detonatore,124,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
AZOTURO DI PIOMBO UMIDIFICATO, con almeno il 20% di acqua o di una miscela di alcol e di acqua,129,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
STIFNATO DI PIOMBO (TRINITRORESORCINATO DI PIOMBO) UMIDIFICATO, con almeno il 20% di acqua o di una miscela di alcol e di acqua,130,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
ACCENDITORI PER MICCIA DI SICUREZZA,131,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
SALI METALLICI DEFLAGRANTI DI NITRODERIVATI AROMATICI, N.A.S.,132,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
ESANITRATO DI MANNITOLO (NITROMANNITE), UMIDIFICATO, con almeno il 40% di acqua o di una miscela di alcol e di acqua,133,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
FULMINATO DI MERCURIO UMIDIFICATO, con almeno il 20% di acqua o di una miscela di alcol e di acqua,135,,1,1.1A,,1,0 (B),,,,,,,,,,,,,,,,
MINE con carica di scoppio,136,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
MINE con carica di scoppio,137,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
MINE con carica di scoppio,138,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITROGLICERINA DESENSIBILIZZATA con almeno il 40% (massa) di ﬂemmatizzante non volatile insolubile in acqua,143,,1,1.1D,,1+6.1,1 (B1000C),,,,,,,,,,,,,,,,
NITROGLICERINA IN SOLUZIONE ALCOLICA con più dell'1% ma al massimo il 10% di nitroglicerina,144,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITROAMIDO, secco o umidiﬁcato con meno del 20% (massa) di acqua,146,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITROUREA,147,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TETRANITRATO DI PENTAERITRITE (TETRANITRATO DI PENTAERITROLO, PENTRITE, PETN) UMIDIFICATO con almeno il 25% (massa) di acqua, o DESENSIBILIZZATO con almeno il 15% (massa) di ﬂemmatizzante,150,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
PENTOLITE secca o umidiﬁcata con meno del 15% (massa) di acqua,151,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROANILINA (PICRAMMIDE),153,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROFENOLO (ACIDO PICRICO), secco o umidiﬁcato con meno del 30% (massa) di acqua,154,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROCLOROBENZENE (CLORURO DI PICRILE),155,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
GALLETTA UMIDIFICATA con almeno il 25% (massa) d'acqua:,159,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
POLVERE SENZA FUMO,160,,1,1.1C,,1,1 (B1000C),,,,,,,,,,,,,,,,
POLVERE SENZA FUMO,161,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
PROIETTILI con carica di scoppio,167,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
PROIETTILI con carica di scoppio,168,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
PROIETTILI con carica di scoppio,169,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI ILLUMINANTI con o senza carica di scoppio, carica di espulsione o carica propulsiva,171,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
DISPOSITIVI di sgancio ESPLOSIVI,173,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
RIVETTI ESPLOSIVI,174,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
RAZZI con carica di scoppio,180,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
RAZZI con carica di scoppio,181,,1,1.1E,,1,1 (B1000C),,,,,,,,,,,,,,,,
RAZZI con carica di scoppio,182,,1,1.2E,,1,1 (B1000C),,,,,,,,,,,,,,,,
RAZZI con testa inerte,183,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
MOTORI PER RAZZI,186,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CAMPIONI DI ESPLOSIVI, diversi dagli esplosivi di innesco,190,,1,,,,0 (E),,,,,,,,,,,,,,,,
ARTIFICI DA SEGNALAZIONE A MANO,191,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
PETARDI PER FERROVIA,192,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
PETARDI PER FERROVIA,193,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
SEGNALI DI PERICOLO per navi,194,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
SEGNALI DI PERICOLO per navi,195,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
SEGNALI FUMOGENI,196,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
SEGNALI FUMOGENI,197,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
SEGNALI ACUSTICI DI SONDAGGIO ESPLOSIVI,204,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
TETRANITROANILINA,207,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROFENILMETILNITROAMMINA (TETRILE),208,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROLUENE (TOLITE,TNT), secco o umidiﬁcato con meno del 30% (massa) di acqua,209,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRACCIANTI PER MUNIZIONI,212,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
TRINITROANISOLO,213,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROBENZENE, secco o umidiﬁcato con meno del 30% (massa) di acqua,214,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
ACIDO TRINITROBENZOICO, secco o umidiﬁcato con meno del 30% (massa) di acqua,215,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITRO-m-CRESOLO,216,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITRONAFTALENE,217,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITROFENETOLO,218,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TRINITRORESORCINOLO (TRINITRORESORCINA,ACIDO STIFNICO), secco o umidiﬁcato con meno del 20% (massa) di acqua (o di una miscela di alcol e di acqua),219,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITRATO DI UREA, secco o umidiﬁcato con meno del 20% (massa) di acqua,220,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TESTE MILITARI PER SILURI con carica di scoppio,221,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITRATO DI AMMONIO,222,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
AZOTURO DI BARIO, secco o umidiﬁcato con meno del 50% (massa) di acqua,224,,1,1.1A,,1+6.1,0 (B),,,,,,,,,,,,,,,,
CARICA DI RINFORZO CON DETONATORE,225,,1,1.1B,,1,1 (B1000C),,,,,,,,,,,,,,,,
CICLOTETRAMETILENTETRANITROAMMINA (HMX, OCTOGENO) UMIDIFICATA con almeno il 15% (massa) di acqua,226,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DINITRO-o-CRESATO DI SODIO, secco o umidiﬁcato con meno del 15% (massa) di acqua,234,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
PICRAMMATO DI SODIO, secco o umidiﬁcato con meno del 20% (massa) di acqua,235,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
PICRAMMATO DI ZIRCONIO, secco o umidiﬁcato con meno del 20% (massa) di acqua,236,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CORDONE DETONANTE A SEZIONE PROFILATA,237,,1,1.4D,,1.4,2 (E),,,,,,,,,,,,,,,,
RAZZI LANCIA SAGOLE,238,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
RAZZI LANCIA SAGOLE,240,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO E,241,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE DI LANCIO PER CANNONE,242,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE AL FOSFORO BIANCO con carica di scoppio, carica di espulsione o carica propulsiva,243,,1,1.2H,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE AL FOSFORO BIANCO con carica di scoppio, carica di espulsione o carica propulsiva,244,,1,1.3H,,1,1 (C),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE AL FOSFORO BIANCO con carica di scoppio, carica di espulsione o carica propulsiva,245,,1,1.2H,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE AL FOSFORO BIANCO con carica di scoppio, carica di espulsione o carica propulsiva,246,,1,1.3H,,1,1 (C),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE con liquido o gel, con carica di scoppio, carica di espulsione o carica propulsiva,247,,1,1.3J,,1,1 (C),,,,,,,,,,,,,,,,
CONGEGNI IDROATTIVI con carica di scoppio, carica di espulsione o carica propulsiva,248,,1,1.2L,,1,0 (B),,,,,,,,,,,,,,,,
CONGEGNI IDROATTIVI con carica di scoppio, carica di espulsione o carica propulsiva,249,,1,1.3L,,1,0 (B),,,,,,,,,,,,,,,,
MOTORI PER RAZZI CONTENENTI LIQUIDI IPERGOLICI, con o senza carica di espulsione,250,,1,1.3L,,1,0 (B),,,,,,,,,,,,,,,,
MUNIZIONI ILLUMINANTI con o senza carica di scoppio, carica di espulsione o carica propulsiva,254,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
DETONATORI da mina ELETTRICI,255,,1,1.4B,,1.4,2 (E),,,,,,,,,,,,,,,,
SPOLETTE-DETONATORI,257,,1,1.4B,,1.4,2 (E),,,,,,,,,,,,,,,,
OCTOLITE (OCTOLO) secca o umidiﬁcata con meno del 15% (massa) d'acqua,266,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
DETONATORI da mina NON ELETTRICI,267,,1,1.4B,,1.4,2 (E),,,,,,,,,,,,,,,,
CARICHE DI RINFORZO CON DETONATORE,268,,1,1.2B,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE PROPELLENTI,271,,1,1.1C,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE PROPELLENTI,272,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARTUCCE PER USI TECNICI,275,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARTUCCE PER USI TECNICI,276,,1,1.4C,,1.4,2 (E),,,,,,,,,,,,,,,,
CARICHE PER POZZI PETROLIFERI,277,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARICHE PER POZZI PETROLIFERI,278,,1,1.4C,,1.4,2 (E),,,,,,,,,,,,,,,,
CARICHE DI LANCIO PER CANNONE,279,,1,1.1C,,1,1 (B1000C),,,,,,,,,,,,,,,,
MOTORI PER RAZZI,280,,1,1.1C,,1,1 (B1000C),,,,,,,,,,,,,,,,
MOTORI PER RAZZI,281,,1,1.2C,,1,1 (B1000C),,,,,,,,,,,,,,,,
NITROGUANIDINA (GUANITE), secca o umidiﬁcata con meno del 20% (massa) di acqua,282,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARICHE DI RINFORZO SENZA DETONATORE,283,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
GRANATE a mano o per fucile con carica di scoppio,284,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
GRANATE a mano o per fucile con carica di scoppio,285,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TESTE MILITARI PER RAZZI con carica di scoppio,286,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
TESTE MILITARI PER RAZZI con carica di scoppio,287,,1,1.2D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CORDONE DETONANTE A SEZIONE PROFILATA,288,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
CORDONE DETONANTE ﬂessibile,289,,1,1.4D,,1.4,2 (E),,,,,,,,,,,,,,,,
CORDONE DETONANTE con rivestimento metallico,290,,1,1.1D,,1,1 (B1000C),,,,,,,,,,,,,,,,
BOMBE con carica di scoppio,291,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
GRANATE a mano o per fucile con carica di scoppio,292,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
GRANATE a mano o per fucile con carica di scoppio,293,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
MINE con carica di scoppio,294,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
RAZZI con carica di scoppio,295,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
SEGNALI ACUSTICI DI SONDAGGIO ESPLOSIVI,296,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
MUNIZIONI ILLUMINANTI con o senza carica di scoppio, carica di espulsione o carica propulsiva,297,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
BOMBE FOTO-ILLUMINANTI,299,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
MUNIZIONI INCENDIARIE con o senza carica di scoppio, carica di espulsione o carica propulsiva,300,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
MUNIZIONI LACRIMOGENE con o senza carica di scoppio, carica di espulsione o carica propulsiva,301,,1,1.4G,,1.4+6.1+8,2 (E),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE con o senza carica di scoppio, carica di espulsione o carica propulsiva,303,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsiva, contenenti materie corrosive,303,,1,1.4G,,1.4+8,2 (E),,,,,,,,,,,,,,,,
MUNIZIONI FUMOGENE, con o senza carica di scoppio carica espulsiva o carica propulsi- va, contenenti materie tossiche per inalazione,303,,1,1.4G,,1.4+6.1,2 (E),,,,,,,,,,,,,,,,
POLVERE ILLUMINANTE,305,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
TRACCIANTI PER MUNIZIONI,306,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
CARTUCCE DA SEGNALAZIONE,312,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
SEGNALI FUMOGENI,313,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
INFIAMMATORI (ACCENDITORI),314,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
INFIAMMATORI (ACCENDITORI),315,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
SPOLETTE-ACCENDITORI,316,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
SPOLETTE-ACCENDITORI,317,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
GRANATE DA ESERCITAZIONE a mano o per fucile,318,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
CANNELLI per artiglieria,319,,1,1.3G,,1,1 (C5000D),,,,,,,,,,,,,,,,
CANNELLI per artiglieria,320,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
CARTUCCE PER ARMI con carica di scoppio,321,,1,1.2E,,1,1 (B1000C),,,,,,,,,,,,,,,,
MOTORI PER RAZZI CONTENENTI LIQUIDI IPERGOLICI, con o senza carica di espulsione,322,,1,1.2L,,1,0 (B),,,,,,,,,,,,,,,,
CARTUCCE PER USI TECNICI,323,,1,1.4S,,1.4,4 (E),,,,,,,,,,,,,,,,
PROIETTILI con carica di scoppio,324,,1,1.2F,,1,1 (B1000C),,,,,,,,,,,,,,,,
INFIAMMATORI (ACCENDITORI),325,,1,1.4G,,1.4,2 (E),,,,,,,,,,,,,,,,
CARTUCCE A SALVE PER ARMI,326,,1,1.1C,,1,1 (B1000C),,,,,,,,,,,,,,,,
CARTUCCE A SALVE PER ARMI o CARTUCCE A SALVE PER ARMI DI PICCOLO CALIBRO,327,,1,1.3C,,1,1 (C5000D),,,,,,,,,,,,,,,,
CARTUCCE CON PROIETTILE INERTE PER ARMI,328,,1,1.2C,,1,1 (B1000C),,,,,,,,,,,,,,,,
SILURI con carica di scoppio,329,,1,1.1E,,1,1 (B1000C),,,,,,,,,,,,,,,,
SILURI con carica di scoppio,330,,1,1.1F,,1,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO B,331,,1,1.5D,,1.5,1 (B1000C),,,,,,,,,,,,,,,,
ESPLOSIVO DA MINA DI TIPO E,332,,1,1.5D,,1.5,1 (B1000C),,,,,,,,,,,,,,,,
FUOCHI PIROTECNICI,333,,1,1.1G,,1,1 (B1000C),,,,,,,,,,,,,,,,
FUOCHI PIROTECNICI,334,,1,1.2G,,1,1 (B1000C),,,,,,,,,,,,,,,,
